GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,Amortization,AmortizationOfIntangiblesIncomeStatement,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,TotalOtherFinanceCost,OtherIncomeExpense,GainOnSaleOfSecurity,EarningsFromEquityInterest,SpecialIncomeCharges,RestructuringAndMergernAcquisition,ImpairmentOfCapitalAssets,OtherSpecialCharges,GainOnSaleOfBusiness,GainOnSaleOfPPE,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,MinorityInterests,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
22061.503,1.9,6.166666667,6.459151333,"15,613,000,000","15,613,000,000","9,782,000,000","5,831,000,000","4,385,000,000","3,113,000,000","1,272,000,000","1,272,000,000",,,"1,446,000,000","-284,000,000","131,000,000","415,000,000",,"68,000,000",,"213,000,000","-414,000,000","414,000,000",,,,,"269,000,000","1,230,000,000","108,000,000","901,000,000","901,000,000","1,111,000,000","1,122,000,000","-11,000,000",,"-210,000,000","901,000,000",0.5,0.49,"1,817,000,000","1,829,000,000","14,167,000,000","901,000,000","1,289,568,000","131,000,000","415,000,000","-284,000,000","1,645,000,000",,"9,782,000,000","1,272,000,000","912,000,000","-414,000,000","-414,000,000","3,331,000,000",0.088,"-36,432,000",185.8300018,186.8999939,184.4199982,184.5200043,184.5200043,8478000,DIS,"334,952,494,643","376,159,494,643",,149.254,4.569,5.496,3.984,24.093,128.954,3/31/21
21494.731,1.266666667,6.766666667,6.484221,"16,249,000,000","16,249,000,000","11,775,000,000","4,474,000,000","4,215,000,000","2,917,000,000","1,298,000,000","1,298,000,000",,,"259,000,000","-291,000,000","113,000,000","404,000,000",,"78,000,000",,"224,000,000","-113,000,000","113,000,000",,,,,"-33,000,000","46,000,000","16,000,000","17,000,000","17,000,000","18,000,000","30,000,000","-12,000,000",,"-1,000,000","17,000,000",0.01,0.01,"1,812,000,000","1,823,000,000","15,990,000,000","17,000,000","102,676,000","113,000,000","404,000,000","-291,000,000","450,000,000",,"11,775,000,000","1,298,000,000","29,000,000","-113,000,000","-113,000,000","1,861,000,000",0.348,"-39,324,000",181.2200012,183.3999939,180.2700043,181.1799927,181.1799927,7073500,DIS,"328,023,679,003","368,737,679,003",,89.286,2.967,5.01,3.925,22.693,210.948,12/31/20
21170.252,1.233333333,8.8,6.622163667,"14,707,000,000","14,707,000,000","11,013,000,000","3,694,000,000","4,147,000,000","2,812,000,000","1,335,000,000","1,335,000,000",,,"-453,000,000","-488,000,000","-24,000,000","464,000,000",,"361,000,000","65,000,000","106,000,000","198,000,000","393,000,000",,"-591,000,000",,,,"-580,000,000","49,000,000","-710,000,000","-710,000,000","-629,000,000","-629,000,000",0,,"-81,000,000","-710,000,000",-0.39,-0.39,"1,809,000,000","1,809,000,000","15,160,000,000","-710,000,000","-901,990,000","-24,000,000","464,000,000","-488,000,000","-116,000,000",,"11,013,000,000","1,335,000,000","-710,000,000","263,000,000","263,000,000","956,000,000",0.27,"71,010,000",123.2399979,125.5500031,123.2399979,124.0800018,124.0800018,13642500,DIS,"224,220,422,329","265,526,422,329",,48.077,13.327,3.218,2.611,18.054,217.823,9/30/20
19520.114,0.333333333,13.06666667,6.918338333,"11,779,000,000","11,779,000,000","7,896,000,000","3,883,000,000","3,832,000,000","2,455,000,000","1,377,000,000","1,377,000,000",,,"51,000,000","-415,000,000","41,000,000","456,000,000",,"-4,476,000,000",,"186,000,000","-4,665,000,000","94,000,000","4,953,000,000","-382,000,000",,,"3,000,000","-4,840,000,000","-331,000,000","-4,721,000,000","-4,721,000,000","-4,512,000,000","-4,509,000,000","-3,000,000",,"-209,000,000","-4,721,000,000",-2.61,-2.61,"1,809,000,000","1,809,000,000","11,728,000,000","-4,721,000,000","-370,220,000","41,000,000","456,000,000","-415,000,000","-4,384,000,000",,"7,894,000,000","1,379,000,000","-4,718,000,000","-4,665,000,000","-4,665,000,000","1,660,000,000",0.068,"-317,220,000",111.5,112.0500031,109.9300003,111.5100021,111.5100021,10565900,DIS,"198,599,310,000","239,706,310,000",48.694,36.232,10.029,2.588,2.197,20.35,-79.769,6/30/20
21561.139,2.1,3.8,7.085335333,"18,009,000,000","18,009,000,000","11,918,000,000","6,091,000,000","4,721,000,000","3,388,000,000","1,333,000,000","1,333,000,000",,,"1,370,000,000","-302,000,000","63,000,000","365,000,000",,"-8,000,000",,"135,000,000","-145,000,000","145,000,000",,,,,"2,000,000","1,060,000,000","525,000,000","460,000,000","460,000,000","520,000,000","535,000,000","-15,000,000",,"-60,000,000","460,000,000",0.25,0.25,"1,808,000,000","1,816,000,000","16,639,000,000","460,000,000","580,850,000","63,000,000","365,000,000","-302,000,000","1,425,000,000",,"11,918,000,000","1,333,000,000","475,000,000","-145,000,000","-145,000,000","2,903,000,000",0.27,"-39,150,000",100.2200012,103.1600037,96.16000366,96.59999847,96.59999847,21563200,DIS,"172,044,600,000","213,286,600,000",17.312,23.148,3.887,2.245,1.917,11.843,77.334,3/31/20
21747.394,2.066666667,3.6,6.982367333,"20,858,000,000","20,858,000,000","13,016,000,000","7,842,000,000","5,001,000,000","3,703,000,000","1,298,000,000","1,298,000,000",,,"2,841,000,000","-286,000,000","76,000,000","362,000,000",,"77,000,000",,"224,000,000","-150,000,000","150,000,000",,,,,"3,000,000","2,632,000,000","459,000,000","2,107,000,000","2,107,000,000","2,147,000,000","2,173,000,000","-26,000,000",,"-40,000,000","2,107,000,000",1.17,1.16,"1,805,000,000","1,817,000,000","18,017,000,000","2,107,000,000","2,256,900,000","76,000,000","362,000,000","-286,000,000","2,994,000,000",,"13,016,000,000","1,298,000,000","2,133,000,000","-150,000,000","-150,000,000","4,442,000,000",0.174,"-26,100,000",143.6699982,144.7700043,143.2599945,144.6300049,144.6300049,5662900,DIS,"257,586,030,000","299,154,030,000",23.067,27.1,3.34,3.463,2.898,14.342,69.7,12/31/19
21540.325,1.733333333,3.6,7.042811333,"19,100,000,000","19,100,000,000","11,822,000,000","7,278,000,000","4,993,000,000","3,697,000,000","1,296,000,000","1,296,000,000",,,"2,285,000,000","-284,000,000","129,000,000","413,000,000",,"-743,000,000",,"131,000,000","-797,000,000","314,000,000",,"511,000,000",,,,"1,258,000,000","344,000,000","1,054,000,000","1,054,000,000","1,205,000,000","914,000,000","291,000,000",,"-151,000,000","1,054,000,000",0.58,0.58,"1,804,000,000","1,816,000,000","16,815,000,000","1,054,000,000","1,342,060,413.36","129,000,000","413,000,000","-284,000,000","1,671,000,000",,"11,822,000,000","1,296,000,000","763,000,000","-797,000,000","-797,000,000","3,764,000,000",0.273,"-217,939,586.65",130.3500061,130.8600006,129.8200073,130.3200073,129.543869,5532500,DIS,"232,099,920,000","283,605,920,000",17.307,21.413,3.19,3.192,2.565,14.848,95.587,9/30/19
21329.877,1.8,3.666666667,7.018496333,"20,245,000,000","20,245,000,000","12,819,000,000","7,426,000,000","4,666,000,000","3,362,000,000","1,304,000,000","1,304,000,000",,,"2,760,000,000","-438,000,000","34,000,000","472,000,000","411,000,000","-304,000,000",,"-1,000,000","-330,000,000","330,000,000",,,,,"27,000,000","2,018,000,000","395,000,000","1,760,000,000","1,760,000,000","1,982,000,000","1,623,000,000","359,000,000",,"-222,000,000","1,760,000,000",0.98,0.97,"1,802,000,000","1,814,000,000","17,485,000,000","1,760,000,000","1,666,320,000","34,000,000","472,000,000","-438,000,000","2,490,000,000",,"12,819,000,000","1,304,000,000","1,401,000,000","-330,000,000","-330,000,000","4,124,000,000",0.196,"-64,680,000",,,,,,,,"251,309,957,468","298,162,957,468",15.655,21.459,3.195,3.524,2.765,14.728,78.588,6/30/19
21115.309,1.666666667,3.866666667,6.822179,"14,922,000,000","14,922,000,000","8,376,000,000","6,546,000,000","3,155,000,000","2,327,000,000","828,000,000","828,000,000",,,"3,391,000,000","-168,000,000","30,000,000","198,000,000",,"4,014,000,000",,"-312,000,000","4,301,000,000","-4,255,000,000",,"-46,000,000",,,"25,000,000","7,237,000,000","1,647,000,000","5,452,000,000","5,452,000,000","5,611,000,000","5,590,000,000","21,000,000",,"-159,000,000","5,452,000,000",3.56,3.55,"1,530,000,000","1,537,000,000","11,531,000,000","5,452,000,000","2,110,628,000","30,000,000","198,000,000","-168,000,000","7,435,000,000",,"8,376,000,000","828,000,000","5,431,000,000","4,301,000,000","4,301,000,000","3,962,000,000",0.228,"980,628,000",,,,,,,,"199,589,903,819","215,799,903,819",15.189,15.949,1.801,2.807,3.93,14.462,26.116,3/31/19
20909.853,2.2,3.833333333,6.749196,"15,303,000,000","15,303,000,000","9,001,000,000","6,302,000,000","2,884,000,000","2,152,000,000","732,000,000","732,000,000",,,"3,418,000,000","-88,000,000","75,000,000","163,000,000",,"101,000,000",,"76,000,000",0,0,,,,,"25,000,000","3,431,000,000","645,000,000","2,788,000,000","2,788,000,000","2,786,000,000","2,786,000,000",,,"2,000,000","2,788,000,000",1.87,1.86,"1,490,000,000","1,498,000,000","11,885,000,000","2,788,000,000","2,788,000,000","75,000,000","163,000,000","-88,000,000","3,594,000,000",,"9,001,000,000","732,000,000","2,788,000,000",0,0,"4,326,000,000",0.188,0,109.1100006,109.6699982,107.5500031,109.6500015,108.3261261,7241700,DIS,"164,475,000,000","181,199,000,000",13.116,14.881,1.217,2.78,3.35,11.841,41.886,12/31/18
