GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,OtherIncomeExpense,GainOnSaleOfSecurity,EarningsFromEquityInterest,SpecialIncomeCharges,ImpairmentOfCapitalAssets,OtherSpecialCharges,GainOnSaleOfBusiness,GainOnSaleOfPPE,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,EarningsFromEquityInterestNetOfTax,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeExtraordinary,MinorityInterests,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
22061.503,1.9,6.166666667,6.484221,"2,220,419,000,000","2,192,482,000,000","1,705,178,000,000","515,241,000,000","446,138,000,000","429,647,000,000",,,,"69,103,000,000","-1,572,000,000","3,348,000,000","4,920,000,000","27,945,000,000","33,927,000,000","4,845,000,000","-6,940,000,000",,,,,"-3,887,000,000","95,476,000,000","-11,646,000,000",,"107,000,000,000","107,000,000,000","107,122,000,000","107,122,000,000",,"-122,000,000","107,000,000,000",,,,,"66,480,000,000","2,151,316,000,000","107,000,000,000","90,807,800,000","3,348,000,000","4,920,000,000","-1,572,000,000","100,396,000,000",,"1,705,178,000,000","179,325,000,000","107,000,000,000","26,987,000,000","26,987,000,000","252,734,000,000",0.4,"10,794,800,000",105.5599976,106.8000031,105.2600021,106.0100021,106.0100021,597500,SONY,"130,252,131,510","111,101,950,112",13.548,19.96,1.834,1.715,2.688,0.05,0.397,3/31/21
21494.731,1.266666667,6.766666667,6.62216367,"2,696,536,000,000","2,676,336,000,000","1,931,676,000,000","764,860,000,000","410,130,000,000","409,835,000,000",,,"295,000,000","354,730,000,000","-1,003,000,000","1,753,000,000","2,756,000,000","123,644,000,000","120,294,000,000","4,496,000,000",0,,,,,"-1,146,000,000","477,371,000,000","103,661,000,000",,"371,891,000,000","371,891,000,000","373,710,000,000","373,710,000,000",,"-1,819,000,000","371,891,000,000",301.09,297.35,"1,235,162,000","1,250,693,000","359,226,000,000","2,341,806,000,000","371,891,000,000","277,718,813,713.02","1,753,000,000","2,756,000,000","-1,003,000,000","480,127,000,000",,"1,931,676,000,000","178,841,000,000","371,891,000,000","120,294,000,000","120,294,000,000","538,674,000,000",0.217,"26,121,813,713.02",100.9300003,101.4000015,100.6100006,101.0999985,101.0999985,670700,SONY,"123,300,587,554","105,181,906,918",13.932,20.921,2.549,1.573,2.563,0.039,0.16,12/31/20
21170.252,1.233333333,8.8,6.91833833,"2,113,486,000,000","2,095,682,000,000","1,474,373,000,000","639,113,000,000","323,769,000,000","329,307,000,000",,,"-5,538,000,000","315,344,000,000","-184,000,000","2,520,000,000","2,704,000,000","-15,556,000,000","-15,097,000,000","2,420,000,000",,,,,,"-2,879,000,000","299,604,000,000","-163,898,000,000",,"459,634,000,000","459,634,000,000","463,502,000,000","463,502,000,000",,"-3,868,000,000","459,634,000,000",374.34,367.82,"1,227,845,000","1,249,629,000","317,764,000,000","1,798,142,000,000","459,634,000,000","470,108,298,600","2,520,000,000","2,704,000,000","-184,000,000","302,308,000,000",,"1,474,373,000,000","158,612,000,000","459,634,000,000","-15,097,000,000","-15,097,000,000","476,017,000,000",0.306,"-4,622,701,400",76.75,77.44000244,76.27999878,76.75,76.75,706700,SONY,"93,762,054,307","79,400,555,345",15.333,19.646,2.069,1.226,2.31,0.038,0.172,9/30/20
19520.114,0.333333333,13.06666667,7.08533533,"1,968,919,000,000","1,949,786,000,000","1,450,332,000,000","518,587,000,000","301,166,000,000","301,166,000,000",,,,"217,421,000,000","1,031,000,000","2,836,000,000","1,805,000,000","101,467,000,000","91,846,000,000","-274,000,000",,,,,,"9,895,000,000","319,919,000,000","72,878,000,000",,"233,251,000,000","233,251,000,000","247,041,000,000","247,041,000,000",,"-13,790,000,000","233,251,000,000",191.09,186.94,"1,220,629,000","1,247,718,000","228,395,000,000","1,751,498,000,000","233,251,000,000","162,327,648,507.90","2,836,000,000","1,805,000,000","1,031,000,000","321,724,000,000",,"1,450,332,000,000","146,959,000,000","233,251,000,000","91,846,000,000","91,846,000,000","376,837,000,000",0.228,"20,922,648,507.90",68.62999725,69.22000122,68.45999908,69.12999725,69.12999725,736700,SONY,"83,819,367,101","69,865,937,517",16.127,21.053,,1.137,2.202,0.035,0.149,6/30/20
21561.139,2.1,3.8,6.98236733,"1,748,740,000,000","1,721,864,000,000","1,298,592,000,000","450,148,000,000","397,510,000,000","397,510,000,000",,,"20,406,000,000","52,638,000,000","2,323,000,000","4,620,000,000","2,297,000,000","-58,944,000,000","-37,965,000,000","3,215,000,000","2,116,000,000",,0,,,"-26,310,000,000","-3,983,000,000","-19,726,000,000",,"12,644,000,000","12,644,000,000","15,743,000,000","15,743,000,000",,"-3,099,000,000","12,644,000,000",10.33,10.102,"1,224,106,000","1,251,684,000","35,447,000,000","1,696,102,000,000","12,644,000,000","37,516,036,200","4,620,000,000","2,297,000,000","2,323,000,000","-1,686,000,000",,"1,298,592,000,000","252,374,000,000","12,644,000,000","-35,849,000,000","-35,849,000,000","286,537,000,000",0.306,"-10,976,963,800",59.27000046,60.5,58.61000061,59.18000031,59.18000031,1057900,SONY,"72,493,988,716","62,481,585,718",12.325,12.407,,0.941,1.844,0.036,0.249,3/31/20
21747.394,2.066666667,3.6,7.04281133,"2,463,162,000,000","2,440,208,000,000","1,783,768,000,000","679,394,000,000","400,032,000,000","400,032,000,000",,,"-18,056,000,000","279,362,000,000","2,771,000,000","3,900,000,000","1,129,000,000","28,188,000,000","12,965,000,000","2,714,000,000","-6,358,000,000",,"6,358,000,000",,,"18,867,000,000","310,321,000,000","69,977,000,000",,"229,538,000,000","229,538,000,000","240,344,000,000","240,344,000,000",,"-10,806,000,000","229,538,000,000",187.02,182.89,"1,227,355,000","1,255,030,000","300,132,000,000","2,183,800,000,000","229,538,000,000","224,420,870,292.38","3,900,000,000","1,129,000,000","2,771,000,000","311,450,000,000",,"1,783,768,000,000","165,738,000,000","229,538,000,000","6,607,000,000","6,607,000,000","470,581,000,000",0.225,"1,489,870,292.38",67.72000122,68.02999878,67.51000214,68,68,549700,SONY,"83,351,396,715","74,833,567,347",11.098,16.181,,1.107,2.327,0.03,0.157,12/31/19
21540.325,1.733333333,3.6,7.01849633,"2,122,259,000,000","2,100,399,000,000","1,493,158,000,000","629,101,000,000","354,916,000,000","354,916,000,000",,,"-2,404,000,000","274,185,000,000","2,169,000,000","4,953,000,000","2,784,000,000","-14,260,000,000","-20,596,000,000","2,366,000,000",,,,,,"3,970,000,000","262,094,000,000","61,927,000,000",,"187,887,000,000","187,887,000,000","200,167,000,000","200,167,000,000",,"-12,280,000,000","187,887,000,000",151.89,148.59,"1,243,086,000","1,270,343,000","278,955,000,000","1,848,074,000,000","187,887,000,000","203,616,621,937.17","4,953,000,000","2,784,000,000","2,169,000,000","264,878,000,000",,"1,493,158,000,000","178,381,000,000","187,887,000,000","-20,596,000,000","-20,596,000,000","463,855,000,000",0.236,"-4,866,378,062.83",58.49000168,59.18000031,58.09999847,59.13000107,59.13000107,666700,SONY,"72,334,638,760","64,596,208,169",9.788,15.432,2.919,0.953,2.042,0.03,0.146,9/30/19
21329.877,1.8,3.666666667,6.822179,"1,925,724,000,000","1,893,466,000,000","1,349,531,000,000","576,193,000,000","350,167,000,000","350,167,000,000",,,"-3,557,000,000","226,026,000,000","925,000,000","5,805,000,000","4,880,000,000","4,067,000,000","-1,373,000,000","1,342,000,000",,,,,,"4,098,000,000","231,018,000,000","65,012,000,000",,"152,122,000,000","152,122,000,000","166,006,000,000","166,006,000,000",,"-13,884,000,000","152,122,000,000",121.78,119.22,"1,249,160,000","1,276,014,000","230,925,000,000","1,699,698,000,000","152,122,000,000","153,108,616,791.77","5,805,000,000","4,880,000,000","925,000,000","235,898,000,000",,"1,349,531,000,000","149,958,000,000","152,122,000,000","-1,373,000,000","-1,373,000,000","387,229,000,000",0.281,"-386,383,208.24",,,,,,,,"65,476,245,194","52,160,830,772",7.978,13.812,2.612,0.844,1.878,0.027,0.135,6/30/19
21115.309,1.666666667,3.866666667,6.749196,"2,127,498,000,000","2,102,523,000,000","1,618,343,000,000","509,155,000,000","399,910,000,000","399,910,000,000",,,"28,183,000,000","109,245,000,000","4,114,000,000","5,877,000,000","1,763,000,000","-725,000,000","26,287,000,000","1,668,000,000",,,,,,"-100,248,000,000","112,634,000,000","11,331,000,000",,"87,861,000,000","87,861,000,000","101,303,000,000","101,303,000,000",,"-13,442,000,000","87,861,000,000",69.68,68.23,"1,261,003,000","1,287,808,000","82,730,000,000","2,018,253,000,000","87,861,000,000","-149,769,971.77","5,877,000,000","1,763,000,000","4,114,000,000","114,397,000,000",,"1,618,343,000,000","211,976,000,000","87,861,000,000","97,855,000,000","97,855,000,000","228,518,000,000",0.101,"9,844,230,028.23",,,,,,,,"52,908,895,053","41,263,207,855",7.472,11.111,2.099,0.714,1.546,0.019,0.126,3/31/19
20909.853,2.2,3.833333333,6.91660467,"2,401,805,000,000","2,381,753,000,000","1,705,132,000,000","696,673,000,000","430,025,000,000","430,025,000,000",,,"-112,809,000,000","266,648,000,000","2,926,000,000","6,436,000,000","3,510,000,000","70,956,000,000","-39,692,000,000","-2,469,000,000",,,,,,"113,117,000,000","340,530,000,000","-100,723,000,000",,"428,962,000,000","428,962,000,000","441,253,000,000","441,253,000,000",,"-12,291,000,000","428,962,000,000",337.97,330.77,"1,269,243,000","1,296,840,000","376,988,000,000","2,135,157,000,000","428,962,000,000","456,405,048,800","6,436,000,000","3,510,000,000","2,926,000,000","344,040,000,000",,"1,705,132,000,000","204,825,000,000","428,962,000,000","-39,692,000,000","-39,692,000,000","588,557,000,000",0.309,"-12,248,951,200",48.72999954,48.81000137,47.91999817,48.27999878,48.27999878,858700,SONY,"61,273,327,189","47,033,318,525",10.17,12.048,2.339,0.788,2.01,0.02,0.086,12/31/18
